month,reply_c,casts_c,total,rolling_sum
2022-05,3389,1473,4862,4862
2022-06,6266,3220,9486,14348
2022-07,10352,4583,14935,29283
2022-08,16521,6464,22985,52268
2022-09,29008,10528,39536,91804
2022-10,50078,18038,68116,159920
2022-11,51590,20206,71796,231716
2022-12,39474,17697,57171,288887
2023-01,45012,16217,61229,350116
2023-02,45798,19095,64893,415009
2023-03,54219,33854,88073,503082
2023-04,50025,23364,73389,576471
2023-05,50430,27851,78281,654752
2023-06,47895,30355,78250,733002
2023-07,74540,46085,120625,853627
2023-08,49075,33608,82683,936310
